,scrape_id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90
scrape_id,,,,,,,,,,,,,,,,,,,,,,,,,
host_response_rate,,1.0,0.377532889416617,0.015909261505181408,0.017583124137901706,,0.029090327648409818,0.035432339700183876,0.07300985158208405,0.09044230595110982,0.08254391913164578,0.08768094541551778,-0.0031337992662719117,-0.17225049230279224,-0.08160949067233424,-0.09852774658411463,-0.0570573143270368,-0.009067161177472877,-0.05570555120060333,-0.11861753788783312,-0.04541229547387688,,-0.05251343484075961,-0.030574141103713388,-0.03308786728658772
host_acceptance_rate,,0.377532889416617,1.0,0.04369890545267923,0.05018556261211162,,0.056170128295923986,0.1098258983291725,0.03426261739355881,-0.06943956289440464,-0.03720535462561627,-0.044335473573593166,0.012770566656657056,-0.1280595719508347,-0.01148344746124706,-0.10911652944192655,-0.005686559781098098,0.11108277428203933,0.1122643712582277,-0.11700506775610695,0.10247191970745194,,-0.18746921722170162,-0.17256119855662108,-0.16088671206177776
host_listings_count,,0.015909261505181408,0.04369890545267923,1.0,0.9424908188379947,,-0.09175885319112616,-0.048188397880624775,-0.05238459067292667,-0.026767359214363674,-0.01421724409453897,-0.05145892545831865,0.6819069364449821,-0.02469759769154179,0.06171064048136439,-0.0274979790657458,-0.007639857887480301,-0.07770591563363542,0.0055890505303601064,-0.028479672225880527,-0.045099662834249904,,0.04528443161890063,0.0368568714713995,0.03802800696449028
host_total_listings_count,,0.017583124137901706,0.05018556261211162,0.9424908188379947,1.0,,-0.04826888739775701,-0.04211547516932633,-0.04097141198463034,-0.03128219029063,0.011022558212385725,-0.039223546071363816,0.6198799690629445,-0.026252642849304675,0.09699861979268254,-0.026693426532965893,-0.01006697458685974,-0.09386296755872388,0.028591890437590597,-0.02682473364830766,-0.05937567814096931,,0.006247159651768302,0.0020431829397031006,0.012091102130362592
neighbourhood_group_cleansed,,,,,,,,,,,,,,,,,,,,,,,,,
latitude,,0.029090327648409818,0.056170128295923986,-0.09175885319112616,-0.04826888739775701,,1.0,0.6852831462818756,0.1241282779205513,0.054532254115812265,0.13732642120049182,0.13917174890155812,-0.08584991392107083,-0.04200856482709487,0.05051589667850124,-0.033239468754105266,-0.05291199706694216,0.05856049331864651,0.059408363253320697,-0.03158624696902491,0.05724412839359117,,-0.030172402787219447,-0.04125533427642833,-0.028854273729875955
longitude,,0.035432339700183876,0.1098258983291725,-0.048188397880624775,-0.04211547516932633,,0.6852831462818756,1.0,0.042050778304527546,-0.0003303766477465038,0.0615302532571816,0.03182210169139233,-0.05769871985928315,-0.05173141916946837,0.1442228006618851,-0.04880276991681002,-0.036202703998718694,0.09439142705650425,0.10098676755047771,-0.05665780284199372,0.09533748711428897,,-0.005235617312882287,-0.0050275732342168694,0.016112452678126978
accommodates,,0.07300985158208405,0.03426261739355881,-0.05238459067292667,-0.04097141198463034,,0.1241282779205513,0.042050778304527546,1.0,0.7736084554448713,0.8208862363742856,0.8746032454651226,0.05177616691716838,-0.06830486067149195,0.014308666816066762,-0.03829583038689748,-0.00577182793968906,0.03183041781706255,-0.01894265773425402,-0.03699190775189766,-0.00770829166062227,,-0.08562910419195896,-0.08574543850652663,-0.053360747047666336
bathrooms,,0.09044230595110982,-0.06943956289440464,-0.026767359214363674,-0.03128219029063,,0.054532254115812265,-0.0003303766477465038,0.7736084554448713,1.0,0.8232951107002195,0.7626343213002023,0.10160967607320652,-0.06631852226864747,-0.055263381016702785,-0.04155664010168482,-0.04297545665724908,-0.05728771408721982,-0.08353587939412241,-0.0442483170379426,-0.0779042190945627,,-0.0012404624364518127,-0.010963758510279767,0.0030568694354299987
bedrooms,,0.08254391913164578,-0.03720535462561627,-0.01421724409453897,0.011022558212385725,,0.13732642120049182,0.0615302532571816,0.8208862363742856,0.8232951107002195,1.0,0.8355140980229854,0.06665750081630996,-0.06322317400010875,-0.03817366612827933,-0.02862251403460727,-0.047126819245573624,-0.007890973542112734,-0.04432854758203494,-0.031026698467496384,-0.03749851684660972,,-0.0679950584370128,-0.08062385816873827,-0.05789505510061634
beds,,0.08768094541551778,-0.044335473573593166,-0.05145892545831865,-0.039223546071363816,,0.13917174890155812,0.03182210169139233,0.8746032454651226,0.7626343213002023,0.8355140980229854,1.0,0.0656291120400812,-0.0322573015532799,-0.0226114779668273,0.008470770825815882,0.0023606274434400075,0.03230388878761196,-0.0054019112525688735,0.008125831632151423,0.0015188110273151505,,-0.02313115605774402,-0.03505641558533604,-0.015304909141613766
price,,-0.0031337992662719117,0.012770566656657056,0.6819069364449821,0.6198799690629445,,-0.08584991392107083,-0.05769871985928315,0.05177616691716838,0.10160967607320652,0.06665750081630996,0.0656291120400812,1.0,0.10759143944240371,0.08817395556056032,0.12203586820552102,0.02270142956087956,-0.10184007033779874,0.020671099345207306,0.12167857699482705,-0.03552732215747972,,0.04055424908222767,0.017431143799005334,0.0003409047901397918
minimum_nights,,-0.17225049230279224,-0.1280595719508347,-0.02469759769154179,-0.026252642849304675,,-0.04200856482709487,-0.05173141916946837,-0.06830486067149195,-0.06631852226864747,-0.06322317400010875,-0.0322573015532799,0.10759143944240371,1.0,0.18148186514943376,0.9084533789247606,0.12394061253613191,0.09248458936400494,0.08531046273922602,0.9162340496983412,0.09065078243135864,,0.15740723806128232,0.135031521549698,0.12643173965103274
maximum_nights,,-0.08160949067233424,-0.01148344746124706,0.06171064048136439,0.09699861979268254,,0.05051589667850124,0.1442228006618851,0.014308666816066762,-0.055263381016702785,-0.03817366612827933,-0.0226114779668273,0.08817395556056032,0.18148186514943376,1.0,0.1613029169531457,0.02199503442150294,0.393498085856538,0.5068127882675582,0.1645275339211188,0.4538464948692464,,-0.1491876003222886,-0.15330550317021124,-0.15473685781839577
