neighbourhood_cleansed,mean,median,std,count
arenella,203.0,131.0,108.38588468984327,5
avvocata,209.85714285714286,149.0,112.10219042864905,14
chiaia,478.3611111111111,146.5,1639.768871392338,36
chiaiano,149.0,149.0,,1
fuorigrotta,201.57142857142858,171.0,103.46151803586545,7
mercato,147.25,137.0,31.826351764955195,4
montecalvario,173.54545454545453,142.0,65.9586647419841,22
pendino,190.4,173.0,97.44871795759526,20
piscinola,249.0,249.0,,1
poggioreale,118.5,118.5,2.1213203435596424,2
porto,173.16666666666666,130.0,94.6661315919703,18
posillipo,197.11111111111111,152.0,118.00576727902374,9
san carlo all'arena,157.0,150.0,32.349652239243625,5
san ferdinando,419.0888888888889,190.0,1240.9979272970425,45
san giuseppe,212.35,143.5,130.21167988681879,20
san lorenzo,342.2105263157895,159.5,635.4057719452485,38
san pietro a patierno,166.0,166.0,,1
stella,175.0,150.0,46.49731175025068,5
vicaria,140.0,140.0,21.213203435596427,2
vomero,176.9090909090909,148.0,112.80909054278786,11
zona industriale,140.0,136.0,15.599145275730121,4
