,count,mean,std,min,25%,50%,75%,max,missing,skewness,kurtosis
scrape_id,270.0,20250619031344.0,0.0,20250619031344.0,20250619031344.0,20250619031344.0,20250619031344.0,20250619031344.0,0,0.0,0.0
host_response_rate,270.0,0.9806296296296295,0.11432675019553051,0.0,1.0,1.0,1.0,1.0,0,-7.239289121971741,54.92030127745897
host_acceptance_rate,270.0,0.9281111111111111,0.20719167236019673,0.0,1.0,1.0,1.0,1.0,0,-3.3997403591574256,11.07286339665099
host_listings_count,270.0,18.392592592592592,100.38032481693736,1.0,1.0,3.0,6.0,1525.0,0,12.963799360299976,190.58225281720323
host_total_listings_count,270.0,25.555555555555557,128.1102375362177,1.0,1.0,3.0,7.0,1645.0,0,9.679283418311746,108.68881341368612
neighbourhood_group_cleansed,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
latitude,270.0,40.843332558949,0.01083552086375447,40.80055260712241,40.836302700000005,40.844255000000004,40.85085431102037,40.88227,0,-0.35898585567367025,2.134282834116097
longitude,270.0,14.247052935425971,0.01630488517952267,14.1910536,14.241697001832712,14.248910703442387,14.257529116973878,14.2840224,0,-0.9374985496059974,1.1541904162256822
accommodates,270.0,4.951851851851852,2.7782841339394904,2.0,3.0,4.0,6.0,16.0,0,1.7465780831148396,3.985532745316945
bathrooms,270.0,1.548148148148148,0.926427511120471,1.0,1.0,1.0,2.0,7.0,0,2.6453673961258892,9.551327569129594
bedrooms,270.0,1.8,1.1872933199126885,0.0,1.0,1.0,2.0,11.0,0,2.6352991189187045,13.778562952721336
beds,270.0,2.9555555555555557,2.194507054983926,0.0,1.25,2.0,4.0,17.0,0,2.2704069070587867,8.414482382497791
price,270.0,285.36296296296297,822.4170208865914,117.0,131.25,152.5,215.75,9999.0,0,10.150608374069382,109.61008930065672
minimum_nights,270.0,6.114814814814815,10.588174778160077,1.0,1.0,2.0,2.0,31.0,0,1.92289269732229,1.7543792279499328
maximum_nights,270.0,391.8888888888889,386.0735270354227,7.0,30.0,365.0,365.0,1125.0,0,0.9756671364029034,-0.30982928803856025
minimum_minimum_nights,270.0,5.314814814814815,9.954588477178028,1.0,1.0,1.0,2.0,31.0,0,2.197149796651064,2.8862298859321696
maximum_minimum_nights,270.0,9.977777777777778,60.804759971502804,1.0,2.0,2.0,4.0,992.0,0,15.781011119214226,255.59301121627692
minimum_maximum_nights,270.0,538.9148148148148,461.306343878319,1.0,50.75,365.0,1125.0,1125.0,0,0.2606496998008644,-1.6620019522610003
maximum_maximum_nights,270.0,599.0888888888888,455.31291526317625,7.0,99.0,365.0,1125.0,1125.0,0,0.04129192322590628,-1.7203091526231056
minimum_nights_avg_ntm,270.0,5.601111111111112,9.863395900322221,1.0,1.1,2.0,2.4,31.0,0,2.1813156247003964,2.840696821207527
maximum_nights_avg_ntm,270.0,571.6233333333333,450.57476182791527,7.0,99.0,365.0,1125.0,1125.0,0,0.1478976584179993,-1.6701833955286403
calendar_updated,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
availability_30,270.0,15.988888888888889,9.23726223676318,0.0,9.0,16.0,25.0,30.0,0,-0.09756095148183051,-1.1234034763723313
availability_60,270.0,35.592592592592595,17.825380300138185,0.0,23.25,38.0,50.75,60.0,0,-0.38821934973245736,-0.8759762074963406
availability_90,270.0,57.30740740740741,25.60215235384297,0.0,40.0,60.5,79.75,90.0,0,-0.5687928418279887,-0.6298150278379802
availability_365,270.0,230.75925925925927,97.52379086067091,6.0,152.5,232.0,323.75,365.0,0,-0.26275794180707973,-1.1129263614120937
number_of_reviews_x,270.0,33.2,68.44869459545274,0.0,0.25,4.0,35.0,481.0,0,3.565052906877349,15.628320636193935
number_of_reviews_ltm,270.0,9.014814814814814,17.905985452393875,0.0,0.0,1.0,8.75,112.0,0,2.861696562868918,9.196901174620603
number_of_reviews_l30d,270.0,1.0296296296296297,2.2233660831359434,0.0,0.0,0.0,1.0,13.0,0,2.972004602693543,9.857809625011896
availability_eoy,270.0,136.5074074074074,48.744058266642135,0.0,104.5,146.0,174.75,196.0,0,-0.9164783697795547,0.3428895784182986
